restaurant_name,borough,neighborhood,cuisine,style,position,image_filename,latitude,longitude
Olde Brooklyn Bagel Shoppe,Brooklyn,Prospect Heights,American,Contemporary,Counter Zone,1,40.6777429,-73.9686298
Fools Gold NYC,Manhattan,Lower East Side,American,Contemporary,Eye Level,4,40.7230840,-73.9897897
Twins Lounge,Brooklyn,Williamsburg,Bar,Retro,Eye Level,3,40.7262762,-73.9520758
Café Habana,Manhattan,Nolita,Cuban,Handmade,Bathroom Shrine,2,40.7228449,-73.9942284
Las’ Lap,Manhattan,Lower East Side,Bar,Retro,Hallway Niche,5,40.7176600,-73.9903523
Fools Gold NYC,Manhattan,Lower East Side,American,Contemporary,Eye Level,6,40.7230840,-73.9897897
Urban Outfitters,Manhattan,East Village,Retail,Minimalist,Eye Level,7,40.7298756,-73.9864543
Five Leaves,Brooklyn,Greenpoint,American,Handmade,Above the Sink,8,40.7236676,-73.9516120
375° Chicken 'n Fries,Manhattan,Lower East Side,American,Contemporary,Eye Level,9,40.7606609,-73.9912341
Two Hands Corn Dogs,Manhattan,Nolita,Korean,Retro,Behind the Drinks,10,40.7209123,-73.9961959
Eyval,Brooklyn,Bushwick,Persian,Handmade,Eye Level,11,40.7041360,-73.9331026
Los Tacos 1,Manhattan,Noho,Mexican,Traditional,Hidden Spot,12,40.7258746,-73.9939566
MáLà Project,Manhattan,East Village,Chinese,Vintage,Hallway Niche,13,40.7271300,-73.9854213
Shake Shack,Manhattan,Noho,American,Modern,Above the Sink,14,40.6437718,-74.0758827
Gimme Coffee,Brooklyn,Williamsburg,Coffee,Contemporary,Counter Zone,15,42.4395232,-76.5064488
Time Again,Manhattan,Lower East Side,Bar,Handmade,Hidden Spot,16,43.4537925,-76.5050119
Chez Fifi,Manhattan,Upper East Side,French,Retro,Near Exit Sign,17,40.7754790,-73.9550233
Otafuku,Manhattan,East Village,Japanese,Vintage,Hidden Spot,18,40.7292688,-73.9873613
Leyenda,Brooklyn,Carroll Gardens,Mexican,Retro,Eye Level,19,40.6784201,-73.9948021
Van Leeuwen Ice Cream,Manhattan,Upper West Side,Ice Cream,Vintage,Hallway Niche,20,40.7848847,-73.9773035
Oslo Coffee Roasters,Manhattan,West Village,Coffee,Contemporary,Hidden Spot,21,40.7337757,-74.0054727
KGB Bar,Manhattan,East Village,Bar,Contemporary,Hallway Niche,22,40.7265891,-73.9898025
Lucali,Manhattan,Carroll Gardens,Pizza,Traditional,Eye Level,23,40.6818319,-74.0003712
MUD,Manhattan,East Village,Coffee,Modern,Near Exit Sign,24,40.7290442,-73.9866462
Fish Cheeks,Manhattan,Noho,Thai,Retro,Hallway Niche,25,40.7258746,-73.9939566
Raoul’s,Manhattan,Soho,French,Contemporary,Hidden Spot,26,40.7262443,-74.0020530
C as in Charlie,Manhattan,Noho,"Korean, American",Retro,Bathroom Shrine,27,40.7254629,-73.9927069
Balthazar,,,,,,28,40.7226578,-73.9981644
Katz’s,Manhattan,Lower East Side,Jewish,,Hidden Spot,29,40.7223431,-73.9873530
Bubby’s,,,,,,30,40.7198226,-74.0084234
Tacombi,Manhattan,Nolita,Mexican,Retro,Bathroom Shrine,31,40.7478517,-73.9417351
Funny Face Bakery,,,,,,32,40.7064971,-74.0035275
Kazu Nori,Manhattan,Midtown East,Japanese,Modern,Near Exit Sign,33,40.7598219,-73.9724708
L’industrie Pizzeria,Brooklyn,Williamsburg,Italian,Vintage,Above the Sink,34,40.7115764,-73.9578034
Mimi’s Frozen Yogurt,Manhattan,Nolita,Froyo,Minimalist,Above the Sink,35,40.7209123,-73.9961959
The Lions,,,,,,36,40.7274292,-73.9852033
Patisserie Fouet,Manhattan,Hell’s Kitchen,"French, Japanese",Minimalist,Eye Level,37,40.7349886,-73.9930818
Son del North,Manhattan,Lower East Side,Mexican,Contemporary,Counter Zone,38,40.7217779,-73.9884756
The Bedford,Brooklyn,Greenpoint,American,Handmade,Behind the Drinks,39,40.7200298,-73.9555273
Taco Dumbo,Brooklyn,Dumbo,Mexican,Retro,Behind the Drinks,40,40.7029052,-73.9901180
Tal Bagels,Manhattan,Gramercy,American,Retro,Near Exit Sign,41,40.7355345,-73.9797733
Caffè Panna,Manhattan,Gramercy,,,,42,40.7242739,-73.9548547
Sofreh,Brooklyn,Prospect Heights,Persian,Modern,Hallway Niche,43,40.6798310,-73.9739893
Oxomoco,Brooklyn,Greenpoint,Mexican,Contemporary,Eye Level,44,40.7297700,-73.9554604
Barney Greengrass,Brooklyn,Upper West Side,Jewish,,,45,40.7879651,-73.9745536
Gjelina,Manhattan,Noho,Mediterranean,,,46,40.7258746,-73.9939566
310 Bowery Bar,Manhattan,Noho,Bar,Retro,Hidden Spot,47,40.7249654,-73.9925829
Dirty Precious,Brooklyn,Gowanus,Bar,Contemporary,Eye Level,48,40.6791695,-73.9885041
French Louie,Brooklyn,Cobble Hill,French,Vintage,Hallway Niche,49,40.6880591,-73.9881726
